processor, function, execution_time, fps
gpu,GaussianBlur, 0.07495903968811035, 13.340619145613404
gpu,GaussianBlur, 0.07495522499084473, 13.341298089921594
gpu,GaussianBlur, 0.07795429229736328, 12.828029997186235
gpu,GaussianBlur, 0.07307291030883789, 13.684961988971908
gpu,GaussianBlur, 0.07695627212524414, 12.99439243071089
gpu,GaussianBlur, 0.07795453071594238, 12.827990763537382
gpu,GaussianBlur, 0.07895684242248535, 12.665146798160455
gpu,GaussianBlur, 0.0879507064819336, 11.370005313208202
gpu,GaussianBlur, 0.07895302772521973, 12.665758727838794
gpu,GaussianBlur, 0.07295799255371094, 13.706517476667276
gpu,GaussianBlur, 0.07095932960510254, 14.092579588408231
gpu,GaussianBlur, 0.06896042823791504, 14.501070041937346
